date,population,residential,public_litter_bins,dumped_rubbish,street_sweepings,mattresses,commingled_recycling,cardboard,hardwaste_to_landfill,hardwaste_recovered,hardwaste_total,green_waste,total_waste
2011/7/1,103631,1516.18,316.62,130.78,453.06,219,500.62,197.14,29.66,0,29.66,2.8,3146.86
2011/8/1,103631,1669.48,331,142.12,441.04,211,557.2,233.98,26.68,0,26.68,3.7,3405.2
2011/9/1,103631,1577.94,319.5,138.8,502.46,204,530.08,201.2,28.94,0,28.94,2.86,3301.78
2011/10/1,103631,1601.54,356.42,149.3,508.96,179,495.54,196.42,27.48,0,27.48,3.74,3339.4
2011/11/1,103631,1716.64,371.76,155.18,464.62,175,564.82,242.7,76.86,0,76.86,8.4,3600.98
2011/12/1,103631,1650.24,357.26,164.56,487.92,183,568.04,307.1,37.52,0,37.52,8.4,3581.04
2012/1/1,110076,1618.54,333.92,183.56,485.82,236,542.28,196.56,36.06,0,36.06,4.3,3401.04
2012/2/1,110076,1605.88,321.18,166.04,544.54,319,493.22,185.69,26.6,0,26.6,3.26,3346.41
2012/3/1,110076,1678.14,363.16,169.02,445.66,301,517.28,190.14,32.36,0,32.36,3.58,3399.34
2012/4/1,110076,1580.1,346.11,161.24,534.84,176,465.78,171.54,30.12,0,30.12,4,3293.73
2012/5/1,110076,1645.68,336.93,186.6,719.32,206,478.8,218.94,33.34,0,33.34,4.2,3623.81
2012/6/1,110076,1523.5,315.99,156.88,505.38,224,468.34,142.82,27.54,0,27.54,2.78,3143.23
2012/7/1,110076,1669.32,330.06,145.72,399.46,251,449.54,164.5,25.42,0,25.42,3.16,3187.18
2012/8/1,110076,1645.42,329.58,134.72,406.9,264,520.48,198.26,29.8,0,29.8,4.2,3269.36
2012/9/1,110076,1473.22,306.33,124.15,399.56,217,468.8,176.76,33.54,0,33.54,3.22,2985.58
2012/10/1,110076,1732.58,377.41,143.08,402.98,216,497.62,168.29,37.64,0,37.64,8.62,3368.22
2012/11/1,110076,1760.86,374.91,143.52,356.86,191,511.96,186.04,81.84,0,81.84,7.56,3423.55
