UniqueId,FacilityOrSiteName,Owner,ManagementType,InfrastructureType,FacilityStreetAddress,FacilitySuburbLocality,State,Postcode,Latitude,Longitude,BatteriesRechargeable,BatteriesSingleUse,BatteriesLeadAcid,ComputersAndAccessories,MobilePhones,PrinterCartridges,Televisions,ElectricalAppliances,ElectricalAppliancesBatteryOperated
VIC00887,Rutherglen Transfer Station,Indigo Shire Council,Drop-off,E-waste drop-off facility,53 Cornishtown Road,Rutherglen,VIC,3685,-36.069791,46.493703,1,1,0,1,1,1,1,1,1
VIC00888,Rye Landfill & Resource Recovery Centre,Mornington Peninsula Shire Council,Drop-off,E-waste drop-off facility,280 Truemans Road,Rye,VIC,3941,-38.3913687,144.8554069,1,1,0,1,1,1,1,1,1
VIC00894,Bayside Transfer Station,Bayside City Council,Drop-off,E-waste drop-off facility,76 Royal Avenue,Sandringham,VIC,3191,-37.9596885,145.0169148,1,1,0,1,1,1,1,1,1
VIC00913,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,278 High St,Shepparton,VIC,3630,-36.3831751,145.4086629,1,1,0,1,1,1,0,0,0
VIC00917,Harvey Norman,Harvey Norman,Drop-off,E-waste drop-off facility,Building A Riverside Plaza 8025,Shepparton,VIC,3630,-36.4083712,145.3911138,0,0,0,1,0,1,1,0,0
VIC00933,TES-AMM Victoria,TES-AMM Pty Ltd,Recycling,E-waste recycling facility,29 Filo Drive,Somerton,VIC,3062,-37.64239502,144.957092285,0,1,1,1,1,1,1,0,0
VIC00939,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,231 Kings Way,South Melbourne,VIC,3205,-37.8324166,144.9679812,1,1,0,1,1,1,0,0,0
VIC00940,Port Phillip Resource Recovery Centre,Port Phillip City Council,Drop-off,E-waste drop-off facility,Boundary Street,South Melbourne,VIC,3205,-37.8300633,144.9451058,1,1,0,1,1,1,1,1,1
VIC00952,Harvey Norman,Harvey Norman,Drop-off,E-waste drop-off facility,917 Princes Hwy,Springvale,VIC,3171,-37.9280757,145.1437916,0,0,0,1,0,1,1,0,0
VIC00976,Sunbury Landfill & Resource Recovery Centre,Hume City Council,Drop-off,E-waste drop-off facility,515 Riddell Rd,Sunbury,VIC,3429,-37.548056,144.690741,1,1,0,1,1,1,1,1,1
VIC00992,Tallangatta Transfer Station,Towong Shire Council,Drop-off,E-waste drop-off facility,727 Murray Valley Highway,Tallangatta,VIC,3700,-36.2236,147.163442,1,1,0,1,1,1,1,1,1
VIC01003,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,2/460 Melton Highway,Taylors Lakes,VIC,3038,-37.6952015,144.7752367,1,1,0,1,1,1,0,0,0
VIC01004,Harvey Norman Watergardens,Harvey Norman,Drop-off,E-waste drop-off facility,450 Melton Highway,Taylors Lakes,VIC,3038,-37.6954115,144.7768628,0,0,0,1,0,1,1,0,0
VIC01007,Harvey Norman,Harvey Norman,Drop-off,E-waste drop-off facility,308-320 Settlement Road,Thomastown,VIC,3074,-37.6877106,145.0271182,0,0,0,1,0,1,1,0,0
VIC01020,Harvey Norman,Harvey Norman,Drop-off,E-waste drop-off facility,123 Argyle St,Traralgon,VIC,3844,-38.1928529,146.5530898,0,0,0,1,0,1,1,0,0
VIC01029,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,"Shop 6, 149-163 Argyle Street",Traralgon,VIC,3844,-38.1921382,146.557016,1,1,0,1,1,1,0,0,0
VIC01038,Tyabb Resource Recovery Centre,Mornington Peninsula Shire Council,Drop-off,E-waste drop-off facility,21 McKirdys Road,Tyabb,VIC,3913,-38.2600234,145.2172139,1,1,0,1,1,1,1,1,1
VIC01045,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,606 Burwood Highway,Vermont South,VIC,3133,-37.8589669,145.1954582,1,1,0,1,1,1,0,0,0
VIC01058,Wangaratta Transfer Station,Wangaratta Rural City Council,Drop-off,E-waste drop-off facility,46-56 Sandford Road,Wangaratta,VIC,3677,-36.3667543,146.2904396,1,1,0,1,1,1,1,1,1
VIC01063,Warracknabeal Landfill,Yarriambiack Shire Council,Drop-off,E-waste drop-off facility,108 Tip Road,Warracknabeal,VIC,3393,-36.2262914,142.4077673,1,1,0,1,1,1,1,1,1
VIC01066,Harvey Norman (Warehouse),Harvey Norman,Drop-off,E-waste drop-off facility,33 Victoria Street,Warragul,VIC,3820,-38.1618968,145.9300722,0,0,0,1,0,1,1,0,0
VIC01071,eWaste Recycling,Western District Employment Agency,Recycling,E-waste recycling facility,11 Albert Street,Warrnambool,VIC,3280,-38.37387,142.45802,0,0,0,1,1,1,1,1,1
VIC01076,Harvey Norman,Harvey Norman,Drop-off,E-waste drop-off facility,84 Raglan Pde,Warrnambool,VIC,3280,-38.3829014,142.5233578,0,0,0,1,0,1,1,0,0
VIC01084,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,3/213 Colac Road,Waurn Ponds,VIC,3216,-38.2031669,144.3107692,1,1,0,1,1,1,0,0,0
VIC01085,Harvey Norman (Breakwater Warehouse),Harvey Norman,Drop-off,E-waste drop-off facility,33 Princess Hwy,Waurn Ponds,VIC,3216,-38.2048558,144.3079523,0,0,0,1,0,1,1,0,0
VIC01097,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,57-61 Synnot St,Werribee,VIC,3030,-37.9039514,144.6597614,1,1,0,1,1,1,0,0,0
VIC01117,Wodonga Transfer Station,Wodonga Council,Drop-off,E-waste drop-off facility,29 Kane Road,Wodonga,VIC,3690,-36.1174577,146.9058819,1,1,0,1,1,1,1,1,1
VIC01127,Hanson Wollert Landfill,Hanson,Drop-off,E-waste drop-off facility,55 Bridge Inn Road,Wollert,VIC,3750,-37.5912137,145.0473462,0,0,1,1,0,0,1,1,1
VIC01135,Woodend Transfer Station,Macedon Ranges Shire Council,Drop-off,E-waste drop-off facility,149 Quarry Road,Woodend,VIC,3442,-37.3695643,144.5414709,1,1,0,1,1,1,1,1,1
VIC01154,Officeworks,Officeworks,Drop-off,E-waste drop-off facility,377 Williamstown Rd,Yarraville,VIC,3013,-37.8241733,144.8819755,1,1,0,1,1,1,0,0,0
