UniqueId,FacilityOrSiteName,Owner,ManagementType,InfrastructureType,FacilityStreetAddress,FacilitySuburbLocality,State,Postcode,Latitude,Longitude,BatteriesRechargeable,BatteriesSingleUse,BatteriesLeadAcid,ComputersAccessories,MobilePhones,PrinterCartridges,Televisions,ElectricalAppliances,ElectricalAppliancesBatteryOperated,ChemicalDrums,Mercury,WhiteGoods
VIC00109,Birregurra Resource Recovery Centre,Colac Otway Shire Council,Drop-off,Transfer station,77 Scouller Street,Birregurra,VIC,3242,-38.33322,143.79275,1,1,1,1,1,1,1,1,1,0,0,1
VIC00113,Boinka Hard Waste Compound,Mildura Rural City Council,Drop-off,Transfer station,Kelly Road,Boinka,VIC,3490,-35.2021374999999,141.607112,1,1,1,1,1,1,1,1,1,0,0,1
VIC00114,Bonang Transfer Station,East Gippsland Shire Council,Drop-off,Transfer station,16 Mailing Road,Bonang,VIC,3888,-37.8283213,145.0748583,1,1,1,1,1,1,1,1,1,0,0,1
VIC00115,Eldorado Transfer Station,Wangaratta Rural City Council,Drop-off,Transfer station,3 Woolshed Rd,Eldorado,VIC,3746,-36.3168066635779,146.531472900589,1,1,1,1,1,1,1,1,1,0,0,1
VIC00119,Bowser Landfill,Wangaratta Rural City Council,Drop-off,Transfer station,5 Coleman Road,Bowser,VIC,3678,-36.3181915,146.3671645,1,1,1,1,1,1,1,1,1,0,0,1
VIC00123,Braeside Transfer Station,Kartaway,Drop-off,Transfer station,12-14 Tarnard Drive,Braeside,VIC,3195,-37.9891662,145.1096078,1,1,1,1,1,1,1,1,1,0,0,1
VIC00125,Branxholme Resource Recovery Centre,Southern Grampians Shire Council,Drop-off,Transfer station,114 Branxholme Byaduk Road,Branxholme,VIC,3302,-37.86238,141.80776,1,1,1,1,1,1,1,1,1,0,0,1
VIC00136,Broadford Resource Recovery Centre,Mitchell Shire Council,Drop-off,Transfer station,Mia Mia Road,Broadford,VIC,3658,-37.132191,145.042619,1,1,1,1,1,1,1,1,1,0,0,1
VIC00140,Brodribb River Trailer,East Gippsland Shire Council,Drop-off,Transfer station,Sandy Flat Road,Brodribb River,VIC,3888,-37.707933,148.563474,1,1,1,1,1,1,1,1,1,0,0,1
VIC00143,Cleanaway Brooklyn,Cleanaway,Drop-off,Transfer station,174 Old Geelong Road,Brooklyn,VIC,3012,-37.8186013,144.8281594,1,1,1,1,1,1,1,1,1,0,0,1
VIC00153,East Brunswick Transfer Station,Kartaway,Drop-off,Transfer station,32 Kirkdale Street,Brunswick East,VIC,3057,-37.7701524999999,144.982594,1,1,1,1,1,1,1,1,1,0,0,1
VIC00155,Bruthen Transfer Station,East Gippsland Shire Council,Drop-off,Transfer station,109 Great Alpine Road,Bruthen,VIC,3885,-37.697864,147.836478,1,1,1,1,1,1,1,1,1,0,0,1
VIC00156,Buchan Transfer Station,East Gippsland Shire Council,Drop-off,Transfer station,2337 Bruthen-Buchan Road,Buchan,VIC,3885,-37.544522,148.148001,1,1,1,1,1,1,1,1,1,0,0,1
VIC00157,Buldah Trailer,East Gippsland Shire Council,Drop-off,Transfer station,Buldah Road,Buldah,VIC,3890,-37.335037,149.206256,1,1,1,1,1,1,1,1,1,0,0,1
VIC00172,Boroondara Transfer Station,Boroondara City Council,Drop-off,Transfer station,648 Riversdale Road,Camberwell,VIC,3124,-37.8333853,145.0697979,1,1,1,1,1,1,1,1,1,0,0,1
VIC00177,Bingo Campbellfield,Bingo Industries,Drop-off,Transfer station,201-203 Northbourne Road,Campbellfield,VIC,3061,-37.6486615,144.957957,1,1,1,1,1,1,1,1,1,0,0,1
VIC00183,Campbellfield Recycling and Waste Transfer  Station,Hume City Council,Drop-off,Transfer station,71 Bolinda Road,Campbellfield,VIC,3061,-37.6848425,144.9654428,1,1,1,1,1,1,1,1,1,0,0,1
VIC00192,Caramut Transfer Station,Moyne Shire Council,Drop-off,Transfer station,Sawmill Road,Caramut,VIC,3274,-37.95727,142.52566,1,1,1,1,1,1,1,1,1,0,0,1
VIC00193,Carisbrook Transfer Station & Resource Recovery Centre,Central Goldfields Shire Council,Drop-off,Transfer station,Potts Lane,Carisbrook,VIC,3464,-37.064722,143.791748,1,1,1,1,1,1,1,1,1,0,0,1
VIC00194,Carlisle River Drop Off Facility,Colac Otway Shire Council,Drop-off,Transfer station,45 Gellibrand River Road,Carlisle River,VIC,3239,-38.56057,143.39407,1,1,1,1,1,1,1,1,1,0,0,1
VIC00204,Carranballac Drop Off Facility,Pyrenees Shire Council,Drop-off,Transfer station,Darlington Carranballac Road,Carranballac,VIC,3361,-37.700261,143.161541,1,1,1,1,1,1,1,1,1,0,0,1
VIC00207,Casteron Resource Recovery Centre,Glenelg Shire Council,Drop-off,Transfer station,291 Bahgallah Road,Casterton,VIC,3311,-37.6108,141.38945,1,1,1,1,1,1,1,1,1,0,0,1
VIC00208,Castlemaine Transfer Station,Mount Alexander Shire Council,Drop-off,Transfer station,Sluicers Road,Castlemaine,VIC,3450,-37.0774489999999,144.192531,1,1,1,1,1,1,1,1,1,0,0,1
VIC00210,Cavendish Resource Recovery Centre,Southern Grampians Shire Council,Drop-off,Transfer station,2478 Henty Highway,Cavendish,VIC,3314,-37.52941,142.03405,1,1,1,1,1,1,1,1,1,0,0,1
VIC00221,Chetwynd Transfer Station,West Wimmera Shire Council,Drop-off,Transfer station,Chetwynd Cemetery Road,Chetwynd,VIC,3312,-37.278912,141.382666,1,1,1,1,1,1,1,1,1,0,0,1
VIC00233,Bingo Clayton South Recycling Centre,Bingo Industries,Drop-off,Transfer station,90 Fairbank Road,Clayton South,VIC,3169,-37.9424893,145.1283581,1,1,1,1,1,1,1,1,1,0,0,1
VIC00234,Cleanaway Clayton South Resource Recovery Centre,Cleanaway,Drop-off,Transfer station,Fraser Road & Deals Road,Clayton South,VIC,3169,-37.9472493,145.1202533,1,1,1,1,1,1,1,1,1,0,0,1
VIC00235,Yarra Recycling Centre,Yarra City Council,Drop-off,Transfer station,168 Roseneath Street,Clifton Hill,VIC,3068,-37.7934248,145.0013537,1,1,1,1,1,1,1,1,1,0,0,1
VIC00236,Club Terrace Trailer,East Gippsland Shire Council,Drop-off,Transfer station,School Road,Club Terrace,VIC,3889,-37.551624,148.93537,1,1,1,1,1,1,1,1,1,0,0,1
VIC00239,Cobram Transfer Station,Moira Shire Council,Drop-off,Transfer station,56 Pye Road,Cobram,VIC,3644,-35.9554116,145.6825279,1,1,1,1,1,1,1,1,1,0,0,1
VIC00250,Coburg Transfer Station,Calleja Group,Drop-off,Transfer station,Newlands Road,Coburg North,VIC,3058,-37.7243065,144.9750842,1,1,1,1,1,1,1,1,1,0,0,1
